feature,weight
intercept,0.1462256331442034
feature_1,-0.08020455924540511
feature_2,0.07689022032572378
feature_3,-0.0011730343695210844
feature_4,0.13084129508568235
feature_5,-0.21695993358039206
feature_6,-0.23413250025051116
feature_7,-0.07615716691862634
feature_8,-0.028008015622303175
feature_9,-0.20354203099140633
feature_10,0.11960437299584074
feature_11,-0.1363695677579844
feature_12,0.12647552248647959
feature_13,-0.04795797964643413
feature_14,0.10712293713463238
feature_15,0.19156474775460486
feature_16,0.0655498003527298
feature_17,0.02726778438818385
feature_18,-0.01754611334083769
feature_19,0.10465875992220847
feature_20,0.192239442603151
feature_21,0.07100292139520283
feature_22,0.07327719373866115
feature_23,0.01913035068413021
feature_24,0.04040948519352517
feature_25,0.08048994180489237
feature_26,-0.0817932135406037
feature_27,-0.01413388026452109
feature_28,-0.10277685717442828
feature_29,-0.20658790931248844
feature_30,-0.1032235123948745
feature_31,-0.05901100455186274
feature_32,0.0602607947855859
feature_33,0.1358118549435107
feature_34,-0.09925947402818378
feature_35,0.20040542525488053
feature_36,0.0655498003527298
feature_37,-0.11883883174120707
feature_38,-0.022041400226377943
feature_39,0.06762633362229674
feature_40,0.13878892390697184
feature_41,0.05533291344909965
feature_42,0.08132316668310718
feature_43,0.13468541622303581
feature_44,0.05712331373712324
feature_45,-0.11668847514364002
feature_46,0.09499579555248962
feature_47,-0.07454670674906438
feature_48,-0.091056135891147
feature_49,0.118894012395575
feature_50,-0.049056512871903254
feature_51,-0.044862500558362245
feature_52,-0.06656894632698461
feature_53,0.08932053580259128
feature_54,0.06703685834015086
feature_55,-0.1388528012742133
feature_56,0.029789703993532132
feature_57,-0.17299862755374276
feature_58,0.0940736983190916
feature_59,-0.08798314682622992
feature_60,-0.2415532265708138
feature_61,-0.06936636555600298
feature_62,-0.03315521441866527
feature_63,0.06212828284849311
feature_64,-0.11745139634850264
feature_65,-0.08302707384036516
feature_66,0.1308747508684678
feature_67,-0.12357158660021317
feature_68,0.08390312774339999
feature_69,0.07954843431555293
feature_70,-0.2290499756303072
feature_71,0.08974939858997759
feature_72,-0.07905661645646976
feature_73,0.07393440980680761
feature_74,-0.0570883058437979
feature_75,-0.054707788653137385
feature_76,-0.03897168021458956
